English,Urdu
zain never said no,زین نے کبھی نہیں کہا
take the medicine,دوا لے لو
i wasnt always happy,میں ہمیشہ خوش نہیں تھا
zain is a biologist,زین ایک ماہر حیاتیات ہے۔
do you know latin,کیا آپ لاطینی جانتے ہیں؟
zain got off his bike,زین اپنی بائیک سے اترا۔
please dont do it,مہربانی کر کے ایسا ضرور کریں۔
i usually listen to music in my room,میں عام طور پر اپنے کمرے میں موسیقی سنتا ہوں۔
were uninsured,غیر بیمہ شدہ تھے۔
do you have a wife,کیا تمھاری بیوی ہے
a cab is waiting,ایک ٹیکسی انتظار کر رہی ہے۔
i had be delighted,میں خوش ہو گیا تھا
i cant stop laughing,میں ہنسی نہیں روک سکتا
can we try this again,کیا ہم اسے دوبارہ آزما سکتے ہیں؟
i am sorry for this,مجھے اس کے لیے افسوس ہے۔
i heard him go out,میں نے اسے باہر جاتے سنا
i miss my parents,میں اپنے والدین کو یاد کرتا ہوں۔
i want him to leave,میں چاہتا ہوں کہ وہ چلا جائے۔
the river has risen,دریا بڑھ گیا ہے
when did you return,تم کب واپس آئے
zain starved to death,زین بھوک سے مر گیا۔
are you the mayor,کیا آپ میئر ہیں؟
enjoy your holidays,اپنی چھٹیوں کا مزہ لو
the answer is right,جواب درست ہے
i know the drill,میں ڈرل جانتا ہوں۔
i still have time,میرے پاس اب بھی وقت ہے۔
i am in charge here,میں یہاں انچارج ہوں۔
he doesnt sleep,وہ سوتا نہیں ہے
he doesnt listen,وہ نہیں سنتا
i am not sure yet,مجھے یقین نہیں ہے.
dont mess with tom,ٹام کے ساتھ گڑبڑ نہ کرو
i must make a call,مجھے ایک کال کرنی ہے۔
stop fighting,لڑنا بند کرو
use your wits,اپنی عقل کا استعمال کریں
do you want to eat,کیا آپ کھانا چاہتے ہیں؟
i want to dream,میں خواب دیکھنا چاہتا ہوں۔
i am a friend,میں ایک دوست ہوں
i worked at it,میں نے اس پر کام کیا۔
its not funny,یہ مذاق نہیں ہے
i am feeling nausea,مجھے متلی محسوس ہو رہی ہے۔
she has three kids,اس کے تین بچے ہیں
zain is my friend,زین میرا دوست ہے۔
what should i do now,Apnay kia krna h
dont let me die,مجھے مرنے مت دینا
i lost my wallet,میں نے اپنا بٹوہ کھو دیا۔
be careful up there,وہاں ہوشیار رہو
i dont get paid much,مجھے زیادہ تنخواہ نہیں ملتی
i have nothing to give,میرے پاس دینے کے لیے کچھ نہیں ہے۔
we must go to school,میں اسکول جاتا ہوں
i have got a flat tire,میرے پاس فلیٹ ٹائر ہے۔
zain understands me,زین مجھے سمجھتا ہے۔
zain is nervous,زین گھبرا گیا ہے
i will try that,میں اس کی کوشش کروں گا۔
we are australians,ہم آسٹریلوی ہیں
i am taller,میں لمبا ہوں
i wont tell a soul,میں کسی روح کو نہیں بتاؤں گا۔
he talks too fast,وہ بہت تیزی سے بات کرتا ہے
keep everything ready,سب کچھ تیار رکھو
how could i hate tom,میں ٹام سے کیسے نفرت کر سکتا ہوں
she overslept,وہ زیادہ سو گیا
i saw him play baseball ,میں نے اسے بیس بال کھیلتے ہوئے دیکھا۔
now just relax,اب آرام کرو
the butter went bad,مکھن خراب ہو گیا
i love garlic,مجھے لہسن پسند ہے۔
what animal is it,یہ کونسا جانور ہے
why do you permit it,آپ اس کی اجازت کیوں دیتے ہیں
i lost my sunglasses,میں نے اپنا چشمہ کھو دیا۔
is she a pretty girl,کیا وہ ایک خوبصورت لڑکی ہے؟
its a short walk,یہ ایک چھوٹی سی واک ہے
he ran into the room,وہ کمرے میں بھاگا
quit wasting time,وقت ضائع کرنا چھوڑ دو
i dont have a system,میرے پاس سسٹم نہیں ہے۔
what is it worth,اس کی کیا قیمت ہے
i have never beaten tom,میں نے کبھی ٹام کو نہیں مارا۔
buy one get one free,ایک کے ساتھ ایک مفت
how did you lose it,تم نے اسے کیسے کھو دیا
were out of tea,چائے ختم ہو گئی
you dont scare me,تم مجھے ڈراو مت
its monkey meat,اس کا بندر کا گوشت
shes zains sister,وہ زین بہن ہے
my arm-bone has got fractured,میرے بازو کی ہڈی ٹوٹ گئی ہے۔
thats another story,یہ ایک اور کہانی ہے
hey you are early,ارے تم جلدی ہو
i am happy,میں خوش ہوں
zain hates jogging,زین کو جاگنگ سے نفرت ہے۔
i stopped laughing,میں نے ہنسنا چھوڑ دیا۔
hit tom,ٹام کو مارو
do you dye your hair,کیا آپ اپنے بالوں کو رنگتے ہیں؟
what is it made from,یہ کس چیز سے بنا ہے
did zain have dinner,کیا زین نے رات کا کھانا کھایا؟
can we get on with it,کیا ہم اس کے ساتھ چل سکتے ہیں؟
i was counting on you,میں تم پر بھروسہ کر رہا تھا۔
he is a writer,وہ ایک مصنف ہے
do you enjoy losing,کیا آپ کو کھونے میں مزہ آتا ہے؟
i lost my composure,میں نے اپنا حوصلہ کھو دیا۔
can you play guitar,کیا آپ گٹار بجا سکتے ہیں؟
did he fail again,کیا وہ دوبارہ ناکام ہوا؟
does the restaurant have a non-smoking section,کیا ریستوراں میں سگریٹ نوشی نہ کرنے والا سیکشن ہے؟
i am a tattoo artist,میں ٹیٹو آرٹسٹ ہوں۔
zain isnt convinced,زین کو یقین نہیں آرہا
did you leave a tip,کیا آپ نے کوئی ٹپ چھوڑی ہے؟
he began running,وہ چلانے لگا
i hate insects,مجھے کیڑوں سے نفرت ہے۔
this is really big,یہ واقعی بڑا ہے
zain is now up,زین اب اوپر ہے
he wants an ipad mini,وہ ایک آئی پیڈ منی چاہتا ہے۔
i will go on a trip,میں سفر پر جاؤں گا۔
is this hat yours,کیا یہ ٹوپی آپ کی ہے؟
i remember it all,مجھے یہ سب یاد ہے۔
i will ask him,میں اس سے پوچھوں گا
sign your name there,وہاں اپنے نام پر دستخط کریں۔
i wish i had more,کاش میرے پاس زیادہ ہوتا
what else,اور کیا؟
that smells good,اس سے اچھی خوشبو آتی ہے۔
zain has siblings,زین کے بہن بھائی ہیں۔
i have seen tom,میں نے ٹام کو دیکھا ہے۔
are they considering moving to a new city,کیا وہ کسی نئے شہر میں جانے پر غور کر رہے ہیں؟
i am swamped with work,میں کام سے بھرا ہوا ہوں۔
you are my friends,آپ میرے دوست ہیں
i thought so,میں نے ایسا سوچا۔
we miss tom,ہم ٹام کو یاد کرتے ہیں
zain is a born artist,زین ایک پیدائشی فنکار ہے۔
stand by your desks,اپنی میزوں کے ساتھ کھڑے ہو جاؤ
prove it to me,مجھے ثابت کرو
i miss your laugh,مجھے آپ کی ہنسی یاد آتی ہے۔
try to go slower,آہستہ جانے کی کوشش کریں
zains a big coward,زین ایک بڑا بزدل ہے۔
zain was executed,زین کو پھانسی دی گئی۔
this restaurant serves very mingy portions,یہ ریسٹورنٹ بہت مزے دار حصے پیش کرتا ہے۔
zains limping,زین لنگڑانا
night came on,رات ہو گئی
did zain come,زین آیا؟
i am not an only child,میں اکلوتا بچہ نہیں ہوں۔
it isnt hard to do,یہ کرنا مشکل نہیں ہے
i wish i could be in boston now,کاش میں اب بوسٹن میں ہوتا
can i get you a drink while you are waiting,جب آپ انتظار کر رہے ہوں کیا میں آپ کو ایک مشروب لا سکتا ہوں؟
he is always joking,وہ ہمیشہ مذاق کرتا ہے
he could not swim,وہ تیر نہیں سکتا تھا
did i lock the door,کیا میں نے دروازہ بند کر دیا؟
stick to your plan,اپنے منصوبے پر قائم رہو
are you always busy,کیا آپ ہمیشہ مصروف ہیں؟
women dont like me,خواتین مجھے پسند نہیں کرتیں۔
the birds sang,پرندوں نے گایا
i know how to do it,میں جانتا ہوں کہ یہ کیسے کرنا ہے۔
not good,اچھا نہیں
everyone was confused,ہر کوئی الجھن میں تھا
zain is very cute,زین بہت پیارا ہے
he accepted her gift,اس نے اس کا تحفہ قبول کیا
my names tom,میرے نام ٹام
he is above suspicion,وہ شک سے بالاتر ہے۔
this wont be easy,یہ آسان نہیں ہوگا
i like you,میں تمہیں پسند کرتا ہوں
my cat loves catnip,میری بلی بلی کو پسند کرتی ہے۔
where could they be,وہ کہاں ہو سکتے ہیں
can you speak french,کیا تم فرنچ بول سکتے هو
i am a man,میں ایک مَرد ہوں۔
zain is uninteresting,زین غیر دلچسپ ہے۔
you overestimate him,آپ اسے زیادہ سمجھتے ہیں۔
i have just gotten home,میں ابھی گھر پہنچا ہوں۔
she cant swim,وہ تیر نہیں سکتا
use your fist,اپنی مٹھی کا استعمال کریں
i am making progress,میں ترقی کر رہا ہوں۔
zain ignored me,زین نے مجھے نظر انداز کیا۔
zain cycles to work,کام کرنے کے لئے زین سائیکل
give me a hug,مجھے گلے لگاو
trust is earned,اعتماد حاصل کیا جاتا ہے
you are my girlfriend,تم میری گرل فرینڈ ہو
its our fault,یہ ہماری غلطی ہے
we will decide,ہم فیصلہ کریں گے
i feel so lonely,میں انتہائی اکیلا پن محسوس کرتا ہو
i am not wearing this,میں یہ نہیں پہن رہا ہوں۔
ask your question,اپنا سوال پوچھیں
do me a favor,میرا یاکین کرو
zain has lost his job,زین اپنی نوکری کھو چکا ہے۔
the temperature fell,درجہ حرارت گر گیا
you know enough,آپ کافی جانتے ہیں۔
believe me,ايقين جانين
i played football,میں نے فٹ بال کھیلا
dont ask me ask tom,مجھ سے مت پوچھو ٹام سے پوچھو
there are no rules,کوئی اصول نہیں ہیں
i will do that for sure,میں یہ یقینی طور پر کروں گا۔
he is a fast learner,وہ ایک تیز سیکھنے والا ہے۔
i am from singapore,میں سنگاپور سے ہوں
this fruit has a bad taste,اس پھل کا ذائقہ خراب ہے۔
who are those people,یہ لوگ کون ہے؟
he caught three fish,اس نے تین مچھلیاں پکڑیں۔
consult a doctor,ایک ڈاکٹر سے مشورہ کریں
they didnt find tom,انہیں ٹام نہیں ملا
zain is missing,زین غائب ہے
zain remained calm,زین پرسکون رہا۔
zain had a headache,زین کے سر میں درد تھا۔
he walks too slow,وہ بہت آہستہ چلتا ہے
zain be reasonable,زین معقول ہو
he emptied his glass,اس نے اپنا گلاس خالی کر دیا
zains amazing,زین حیرت انگیز
we want to help,ہم مدد کرنا چاہتے ہیں۔
you are so mysterious,تم بہت پراسرار ہو
i didn't think it proper to wake you up,میں نے آپ کو جگانا مناسب نہیں سمجھا
we wonder why,ہم حیران ہیں کیوں؟
are you by yourself or with someone,تم اکیلے ہو یا کسی کے ساتھ ہو؟
we have two kids,ہمارے دو بچے ہیں۔
you can trust him,آپ اس پر بھروسہ کر سکتے ہیں۔
i dislike them all,میں ان سب کو ناپسند کرتا ہوں۔
zain will kill me,زین مجھے مار دے گا۔
they missed tom,انہوں نے ٹام کو یاد کیا
i am used to the noise,میں شور کا عادی ہوں۔
zain had no alibi,زین کے پاس کوئی علیبی نہیں تھا۔
no one else was hurt,کوئی اور زخمی نہیں ہوا
i have won first prize,میں نے پہلا انعام جیتا ہے۔
i often read,میں اکثر پڑھتا ہوں۔
we looked everywhere,ہم نے ہر جگہ دیکھا
i cracked the code,میں نے کوڈ توڑ دیا۔
what is this,یہ کیا ہے؟
how late are you open,تم کتنی دیر سے کھلتے ہو؟
he dozed off,وہ سو گیا
we traveled on foot,ہم نے پیدل سفر کیا۔
zain needed attention,زین کو توجہ کی ضرورت ہے۔
whose guitar is this,یہ کس کا گٹار ہے؟
what are you doing,تم کیا کر رہے ہو
i need a clean shirt,مجھے ایک صاف قمیض چاہیے
both girls laughed,دونوں لڑکیاں ہنس پڑیں۔
you should eat a little less,آپ کو تھوڑا کم کھانا چاہئے
he understands french,وہ فرانسیسی سمجھتا ہے۔
you have to start,آپ کو شروع کرنا ہوگا
what a hot day it is,یہ کتنا گرم دن ہے
i prefer to read,میں پڑھنا پسند کرتا ہوں۔
lets go on in,اندر چلتے ہیں
alex brushes her teeth twice a day,الیکس دن میں دو بار اپنے دانتوں کو برش کرتا ہے۔
this is his car,یہ اس کی گاڑی ہے
we didnt try,ہم نے کوشش نہیں کی
i hope you slept well,مجھے امید ہے کہ آپ اچھی طرح سوئے ہوں گے۔
i live here,میں ادھر رہتا ہوں۔
this car is black,یہ گاڑی سیاہ ہے
it blew my mind,اس نے میرا دماغ اڑا دیا
i am sad and lonely,میں اداس اور تنہا ہوں۔
the floor feels cold,فرش ٹھنڈا محسوس ہوتا ہے
this book is new,یہ کتاب نئی ہے
i am here as a friend,میں یہاں ایک دوست کے طور پر ہوں۔
zain scolded mary,زین نے مریم کو ڈانٹا۔
they have never met,وہ کبھی نہیں ملے
i made cookies,میں نے کوکیز بنائی
it keeps happening,یہ ہوتا رہتا ہے
take a seat,تشریف رکھیے
zain was my friend,زین میرا دوست تھا۔
dont talk to me,مجھ سے بات مت کرو
you have a message,آپ نے ایک پیغام بھیجا ہے
i looked down,میں نے نیچے دیکھا
i am a married man,میں ایک شادی شدہ آدمی ہوں۔
i am no longer sleepy,مجھے اب نیند نہیں آرہی
the restaurant serves good food at affordable prices,ریستوراں سستی قیمتوں پر اچھا کھانا پیش کرتا ہے۔
he is my old friend,وہ میرا پرانا دوست ہے۔
i was serious,میں سنجیدہ تھا
he is an eager beaver,وہ ایک شوقین بیور ہے
i panicked,میں گھبرا گیا
its okay to cry,رونا ٹھیک ہے
i lied,میں نے جھوٹ بولا
i want something else,میں کچھ اور چاہتا ہوں۔
its fun to travel,سفر کرنے کا مزہ ہے
were dizzy,چکر آ رہے تھے
can you stay with tom,کیا آپ ٹام کے ساتھ رہ سکتے ہیں؟
what happens now,اب کیا ہوتا ہے
life is strange,زندگی عجیب ہے
they cant fire you,وہ آپ کو برطرف نہیں کر سکتے
may i kiss you,میں کیا آپکو بوسہ دے سکتاہوں
what a bad movie,کتنی بری فلم ہے
he did the opposite,اس نے الٹا کیا۔
my favourite dish is biryani,میری پسندیدہ ڈش بریانی ہے۔
zain caught a thief,زین نے ایک چور کو پکڑا۔
she is a student,وہ ایک طالب علم ہے
please take a bath,براہ مہربانی غسل کریں
dont worry,فکر مت کرو
zain knew i was ready,زین جانتا تھا کہ میں تیار ہوں۔
i am enjoying this,میں اس سے لطف اندوز ہو رہا ہوں۔
i opened the doors,میں نے دروازے کھول دیئے۔
large isnt it,بڑا نہیں ہے
i am hungry now,میں اب بھوکا ہوں
do not do that,یہ مت کرو
is zain doing ok,کیا زین ٹھیک کر رہا ہے؟
i hope this works,مجھے امید ہے کہ یہ کام کرتا ہے۔
he comes of a rich family,وہ ایک امیر خاندان سے آتا ہے
i have no clue,مجھے کوئی اندازہ نہیں
bring me my glasses,میرے چشمے لاؤ
zain is still asleep,زین ابھی تک سو رہا ہے
you are unbelievable,آپ ناقابل یقین ہیں
this is my job,یہ میرا کام ہے
zain is grilling meat,زین گوشت کو پیس رہا ہے۔
this will do nicely,یہ اچھی طرح سے کرے گا
go up,اوپر جاؤ
zain isnt we will today,زین آج ہم نہیں کریں گے۔
i dont mind the heat,مجھے گرمی پر کوئی اعتراض نہیں
zain reassured mary,زین نے مریم کو تسلی دی۔
can you contact tom,کیا آپ ٹام سے رابطہ کر سکتے ہیں؟
zain nodded,زین نے سر ہلایا
good work tom,اچھا کام ٹام
i am bigger than you,میں تم سے بڑا ہوں۔
its got to be now,یہ اب ہونا ہے
i simply dont know,میں صرف نہیں جانتا
he left immediately,وہ فوراً چلا گیا
zain was very patient,زین بہت صبر کرنے والا تھا۔
i was really hungry,میں واقعی بھوکا تھا
silence is golden,خاموشی بہترین چیز ہے
i am japanese,میں جاپانی ہوں
i lay on my face,میں اپنے چہرے پر لیٹ گیا
i will come too,میں بھی آؤں گا۔
i am writing an sms,میں ایک ایس ایم ایس لکھ رہا ہوں۔
i had like to lie down,مجھے لیٹنا پسند تھا۔
dont get paranoid,پاگل نہ ہو
do you know how to use a dictionary,اپ کو لغت استعمال کرنا آتی ہے؟
i like it here,مجھے یہاں اچھا لگتا ہے
all the boys ran away,تمام لڑکے بھاگ گئے۔
youve done it again,آپ نے اسے دوبارہ کیا
zain voted for mary,زین نے مریم کو ووٹ دیا۔
is any of this true,کیا اس میں سے کوئی سچ ہے؟
zain exaggerates,زین مبالغہ آرائی کرتا ہے۔
i'll lend you my notebook,تم میرا دجسٹر لے جانا۔
his house was on fire,اس کے گھر میں آگ لگ گئی تھی
no one responded,کسی نے جواب نہیں دیا
he must be over fifty,وہ پچاس سے زیادہ ہونا چاہئے
she got to the hotel late at night,وہ رات کو دیر سے ہوٹل پہنچی۔
is zain at home now,زین اب گھر پر ہے۔
i bought a vw bus,میں نے ایک وی ڈبلیو بس خریدی۔
how close were you,آپ کتنے قریب تھے
stay out of it,اس سے باہر رہو
they cannot be saved,وہ محفوظ نہیں کیا جا سکتا
i am just curious,میں صرف متجسس ہوں۔
forever,ہمیشہ کے لئے
i am happier than you,میں تم سے زیادہ خوش ہوں۔
is the door open,دروازہ کھلا ہے؟
is it in fact the case that,کیا یہ حقیقت میں ایسا ہے
i hope zains right,مجھے امید ہے کہ زین ٹھیک ہے
you cant go,تم نہیں جا سکتے
zain is a true artist,زین ایک حقیقی فنکار ہے۔
i am a college student,میں کالج کا طالب علم ہوں۔
i like them both,میں ان دونوں کو پسند کرتا ہوں۔
i guess thats good,مجھے لگتا ہے کہ اچھا ہے
i just stubbed my toe,میں نے صرف اپنے پیر کو مارا۔
shes not a child,وہ بچہ نہیں ہے
can i borrow this,کیا میں یہ ادھار لے سکتا ہوں؟
i feel blue,مجھے نیلا محسوس ہوتا ہے۔
leave that alone,اسے چھوڑ دو
i will start,میں شروع کروں گا
no one is asking you,کوئی آپ کو نہیں پوچھ رہا ہے
get in touch with me,مجھ سے رابطہ کریں
he will defeat them,وہ ان کو شکست دے گا۔
zains not my name,زین میرا نام نہیں
is there anyone here,کیا یہاں کوئی ہے؟
he is studying,وہ پڑھائی کررہا ہے
zain left without me,زین میرے بغیر چلا گیا
they lost their dog,انہوں نے اپنے کتے کو کھو دیا
zain corrected it,زین نے اسے درست کیا۔
they are enemies,وہ دشمن ہیں
we found it,ہم نے اسے پایا
he can swim a mile,وہ ایک میل تیر سکتا ہے۔
shes innocent,وہ معصوم ہے
i like red roses,مجھے سرخ گلاب پسند ہیں۔
they sweated,انہوں نے پسینہ بہایا
i want facts,میں حقائق چاہتا ہوں۔
zain worked with mary,زین نے مریم کے ساتھ کام کیا۔
they dug a grave,انہوں نے ایک قبر کھودی
penguins live in the antarctica,پینگوئن انٹارکٹیکا میں رہتے ہیں۔
shes busy,وہ مصروف ہے
the sky is overcast,آسمان ابر آلود ہے
he is her friend,وہ اس کا دوست ہے
its too risky,یہ بہت خطرناک ہے
he is lying,وہ جھوٹ بول رہا ہے
i fully support that,میں اس کی مکمل حمایت کرتا ہوں۔
did you threaten tom,کیا تم نے ٹام کو دھمکی دی؟
my parents are old,میرے والدین بوڑھے ہیں۔
war affects us all,جنگ ہم سب کو متاثر کرتی ہے۔
its not a fish,یہ مچھلی نہیں ہے
i hate interviews,مجھے انٹرویوز سے نفرت ہے۔
its ours,یہ ہمارا ہے
how much is this tie,یہ ٹائی کتنی ہے؟
i will shoot him,میں اسے گولی مار دوں گا۔
she could die,وہ مر سکتا ہے
do you understand her,کیا آپ بات کو سمجھتے ہیں؟
thats so sweet,یہ بہت پیارا ہے
she has a picture,اس کے پاس ایک تصویر ہے۔
i prepare dinner,میں رات کا کھانا تیار کرتا ہوں۔
this meat is good,یہ گوشت اچھا ہے
these are my cds,یہ میری سی ڈیز ہیں۔
i am a teacher,میں ایک استاد ہوں
my eyes are tired,میری آنکھیں تھک گئی ہیں
dont put it that way,اس طرح مت ڈالو
he looks healthy,وہ صحت مند لگ رہا ہے
can i rent rackets,کیا میں ریکیٹ کرایہ پر لے سکتا ہوں؟
here comes tom,یہاں ٹام آتا ہے
its not at all easy,یہ بالکل آسان نہیں ہے
you cant park there,آپ وہاں پارک نہیں کر سکتے
i dont deny that,میں اس سے انکار نہیں کرتا
get your utensils tinned,اپنے برتن ٹن کرو
she hasnt come yet,وہ ابھی تک نہیں آیا
sit down and shut up,بیٹھ جاؤ اور چپ کرو
i looked around me,میں نے اپنے ارد گرد دیکھا
i have a twin,میرے پاس ایک جڑواں ہے۔
i saw someone,میں نے کسی کو دیکھا
what is mines yours,میرا کیا ہے تمہارا
i am glad of that,میں اس سے خوش ہوں۔
zain is unkind,زین بے رحم ہے
that sounds horrible,یہ خوفناک لگتا ہے
i have no future,میرا کوئی مستقبل نہیں ہے۔
its the same thing,یہ ایک ہی چیز ہے
i am a communist,میں کمیونسٹ ہوں۔
he gave me a cold,اس نے مجھے ٹھنڈا دیا
we will take the check,ہم چیک لیں گے
do i have to,کیا مجھے کرنا ہے؟
no one can stop tom,ٹام کو کوئی نہیں روک سکتا
hand in your homework,آپ کے ہوم ورک میں ہاتھ
i just spoke with tom,میں نے ابھی ٹام سے بات کی۔
i see a red car ahead,مجھے آگے ایک سرخ کار نظر آ رہی ہے۔
please sing,براہ مہربانی گانا
why is zain so busy,زین اتنا مصروف کیوں ہے
we found them,ہم نے انہیں پایا
he slept an hour,وہ ایک گھنٹہ سو گیا
he fell from the tree,وہ درخت سے گر گیا
i have a bad sunburn,مجھے دھوپ میں بری طرح جلن ہے۔
you cant fire me,تم مجھے برطرف نہیں کر سکتے
we meant well,ہمارا مطلب اچھا تھا۔
hell be back soon,جہنم جلد واپس آ جائے
i will work hard,میں محنت کروں گا۔
i cant blame him,میں اس پر الزام نہیں لگا سکتا
it won't work,یہ کام نہیں کرے گا۔
i had bet my life on it,میں نے اس پر اپنی جان کی شرط لگائی تھی۔
i am a student,میں طالب علم ہوں۔
that would be lying,یہ جھوٹ ہو گا
are you in a hurry,کیا تم جلدی میں ہو؟
i like this tea,مجھے یہ چائے پسند ہے۔
i thought youd left,میں نے سوچا تم چلے گئے
he entered his room,وہ اپنے کمرے میں داخل ہوا
i am a fast swimmer,میں ایک تیز تیراک ہوں۔
he is always joking,وہ ہمیشہ مذاق کرتا ہے
be brief,مختصر بات کریں
i love parties,میں پارٹیوں سے محبت کرتا ہوں
get serious,سنجیدہ ہو جاؤ
is that your car,یہ آپ کی گاڑی ہے
are you brothers,کیا تم بھائی ہو
today is my birthday,آج میری سالگرہ ہے
how old is your dog,آپ کا کتا کتنا بوڑھا ہے
he is an early bird,وہ ایک ابتدائی پرندہ ہے
zain embraced his son,زین نے اپنے بیٹے کو گلے لگا لیا
dont move from here,یہاں سے مت ہٹیں
look what i have found,دیکھو میں نے کیا پایا ہے
when can we move in,ہم کب اندر جا سکتے ہیں
what year is it,یہ کون سا سال ہے
do it if you are bold enough,اگر آپ کافی جرات مند ہیں تو یہ کریں
zain ran,زین دوڑا
is this a river,کیا یہ ایک دریا ہے
he made me sing,اس نے مجھے گانے پر مجبور کیا
i am tall,میں لمبا ہوں
it was a big mistake,یہ ایک بڑی غلطی تھی
he is about your age,وہ آپ کی عمر کے بارے میں ہے
i know what is up,میں جانتا ہوں کہ کیا ہو رہا ہے
they are afraid of us,وہ ہم سے ڈرتے ہیں
i love movies,مجھے فلمیں پسند ہے۔
does that scare you,کیا اس سے آپ خوفزدہ ہوتے ہیں
i think it works,مجھے لگتا ہے کہ یہ کام کرتا ہے
are you hungry,کیا آپ بھوکے ہیں
please wait for me,براہ مہربانی میرا انتظار کریں
we are hungry,ہم بھوکے ہیں
zain needs surgery,زین کو سرجری کی ضرورت ہے
i memorized the poem,میں نے نظم یاد کر لی
i will call back soon,میں جلد ہی واپس کال کروں گا
the sick manâ€™s night is as a mountain,بیمار آدمی کی رات ایک پہاڑ کے طور پر ہے
holster your weapon,اپنے ہتھیار کو ہولسٹر کریں
i grew up in lahore,میں لاہور میں پلا بڑھا۔
they already knew,وہ پہلے سے ہی جانتے تھے
he is really selfish,وہ واقعی خود غرض ہے
zain looked angry,زین غصے میں نظر آیا
how curious,کتنا متجسس
i am too short,میں بہت مختصر ہوں
i will show that to tom,میں ٹام کو یہ دکھاتا ہوں
this is a huge loss,یہ ایک بہت بڑا نقصان ہے
there are no gods,کوئی دیوتا نہیں ہیں
he likes to swim,وہ تیرنا پسند کرتا ہے
this is zains grave,یہ زین قبر ہے
i already did that,میں نے پہلے ہی ایسا کیا
shes not my type,وہ میری قسم نہیں ہے
zain will start,زین شروع ہو جائے گا
i want the same,میں بھی ایسا ہی چاہتا ہوں
i think he is right,مجھے لگتا ہے کہ وہ صحیح ہے
were all scared,سب خوفزدہ تھے
i am weak in math,میں ریاضی میں کمزور ہوں
are we friends,کیا ہم دوست ہیں
zain is a writer,زین ایک مصنف ہے
whens your birthday,آپ کی سالگرہ کب ہے
zain enjoyed it,زین نے اس سے لطف اندوز ہوئے
your tie is crooked,آپ کی ٹائی ٹیڑھی ہے
i will make up for it,میں اس کی تلافی کروں گا
hold on a second,ایک سیکنڈ پر پکڑیں
it is windy today,آج ہوا چل رہی ہے
he went into the bank,وہ بینک کے اندر گیا۔
i hope it works,مجھے امید ہے کہ یہ کام کرتا ہے
i wont get a raise,میں ایک اضافہ نہیں ملے گا
behave yourself,اپنے آپ کو برتاؤ کریں
i need about a minute,میں کے بارے میں ایک منٹ کی ضرورت ہے
dont feed the dog,کتے کو کھانا نہ کھلائیں
give it to her,اسے دے دو
i cut across the park,میں نے پارک کے پار کاٹ دیا
i have had enough,میں نے کافی ہے
he died a happy man,وہ ایک خوش آدمی مر گیا
is everybody ready,کیا ہر کوئی تیار ہے
you were busy,آپ مصروف تھے
the man blushed,وہ شخص شرمندہ ہو گیا
i can read them all,میں ان سب کو پڑھ سکتا ہوں
when was it built,یہ کب تعمیر کیا گیا تھا
i wont laugh,میں ہنسوں گا
we have to find tom,ہم ٹام تلاش کرنے کے لئے ہے
you are wise,تم دانشمند ہو
i know who killed tom,میں جانتا ہوں کہ ٹام کو کس نے مارا
he remained silent,وہ خاموش رہا
zain will find out,زین کو پتہ چل جائے گا
i believe you,مجھے آپ پر یقین ہے
its terribly urgent,یہ انتہائی ضروری ہے
there is no salt,نمک نہیں ہے
zain belongs here,زین کا تعلق یہاں سے ہے
what do we tell tom,ہم ٹام کو کیا بتائیں
i had to arrest tom,مجھے ٹام کو گرفتار کرنا پڑا
i found it later,میں نے اسے بعد میں پایا
i think i will call tom,مجھے لگتا ہے کہ میں ٹام کو فون کروں گا
how do we find it,ہم اسے کیسے تلاش کریں
zain raised his hands,زین نے ہاتھ اٹھائے
we play baseball,ہم بیس بال کھیلتے ہیں
i shouldve gone home,مجھے گھر جانا چاہئے تھا
i dont see why,مجھے نہیں لگتا کیوں
zain is such a jerk,زین ایسا جھٹکا ہے
i dont like that,مجھے یہ پسند نہیں ہے
it is already dark,یہ پہلے ہی اندھیرا ہے
do you smell that,کیا آپ کو اس کی بو آتی ہے
zains left,زین چھوڑ دیا
they made fun of me,انہوں نے میرا مذاق اڑایا
they stopped to talk,وہ بات کرنے کے لئے رک گئے
were contributing,کا حصہ ڈال رہے تھے
what is the hurry,جلدی کیا ہے
i am indebted to him,میں اس کا مقروض ہوں
it was hot yesterday,کل گرمی تھی
it isnt obvious,یہ واضح نہیں ہے
whos joking,کون مذاق کر رہا ہے
he gave me an example,اس نے مجھے ایک مثال دی
thats your job,یہ آپ کا کام ہے
are you on facebook,کیا آپ فیس بک پر ہیں
may i hold your hand,میں آپ کا ہاتھ پکڑوں
zain is good to me,زین میرے لئے اچھا ہے
i can come at three,میں تین بجے آ سکتا ہوں
i can play tennis,میں ٹینس کھیل سکتا ہوں
i clapped my hands,میں نے اپنے ہاتھ تالیاں بجائیں
i have a half brother,میرا ایک سوتیلا بھائی ہے
i am an office worker,میں دفتر کا کارکن ہوں
i dream every night,میں ہر رات خواب دیکھتا ہوں
he tries,وہ کوشش کرتا ہے
zain was thirsty,زین پیاسا تھا
wheres the ice,جہاں برف
it wont be pleasant,یہ خوشگوار نہیں ہوگا
were coming,آ رہے تھے
i am not entirely sure,مجھے مکمل طور پر یقین نہیں ہے
put down your pencil,اپنی پنسل نیچے رکھیں
